contract_amount,ejari_property_sub_type_ar,project_name_en,ejari_bus_property_type_ar,property_usage_en,contract_id,ejari_property_sub_type_en,project_name_ar,property_usage_ar,area_id,tenant_type_en,contract_start_date,contract_end_date,nearest_metro_en,ejari_bus_property_type_id,no_of_prop,line_number,nearest_mall_en,nearest_metro_ar,ejari_bus_property_type_en,ejari_property_sub_type_id,nearest_mall_ar,tenant_type_id,annual_amount,contract_reg_type_en,ejari_property_type_en,is_free_hold,master_project_en,contract_reg_type_ar,ejari_property_type_ar,nearest_landmark_en,area_name_en,load_timestamp,nearest_landmark_ar,ejari_property_type_id,area_name_ar,project_number,actual_area,tenant_type_ar,master_project_ar,contract_reg_type_id
"15000","مكتب","ONTARIO TOWER","وحدة افتراضية","Commercial","CNT2130233834","Office"," أونتاريو تاور","تجاري","390","Authority","2025-03-20","2026-03-19","Business Bay Metro Station","5","1","1","Dubai Mall","محطة مترو الخليج التجاري","Virtual Unit","422","مول دبي","1","15000","New","Office","1","","جديد","مكتب","Downtown Dubai","Burj Khalifa","2025-12-11 23:26:31","وسط مدينة دبي","2","برج خليفة","349","null","جهة","","1"
"60000","غرفتين و صالة","","وحدة","Residential","CRT220872506","2 bed rooms+hall","","سكني","301","","2014-07-25","2015-07-24","Al Nahda Metro Station","2","1","1","City Centre Mirdif","محطة مترو النهضة","Unit","2","سيتي سنتر مردف","null","60000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","Al Nahda Second","2025-12-11 23:26:31","مطار دبي الدولي","842","النهده الثانيه","null","null","","","2"
"45000","غرفة و صالة","","وحدة","Residential","CNT1226969225","1bed room+Hall","","سكني","441","Person","2020-07-20","2021-07-19","Nakheel Metro Station","2","1","1","Marina Mall","محطة مترو النخيل","Unit","1","مارينا مول","0","45000","New","Flat","1","Jumeirah Village Circle","جديد","شقه","Sports City Swimming Academy","Al Barsha South Fourth","2025-12-11 23:26:31","أكاديمية المدينة الرياضية للسباحة","842","البرشاء جنوب الرابعة","null","88","شخص","قرية جميرا الدائرية","1"
"30000","مكتب","","وحدة","Commercial","CNT408204945","Office","","تجاري","362","Authority","2015-11-27","2016-11-26","Baniyas Square Metro Station","2","1","1","Dubai Mall","محطة مترو ميدان بني ياس","Unit","422","مول دبي","1","30000","New","Office","0","","جديد","مكتب","Dubai International Airport","Naif","2025-12-11 23:26:31","مطار دبي الدولي","2","نايف","null","14","جهة","","1"
"104436","محل","","وحدة","Commercial","CNT2081798093","Shop","","تجاري","244","Authority","2023-04-21","2023-12-31","Union Metro Station","2","1","1","Dubai Mall","محطة مترو الاتحاد","Unit","421","مول دبي","1","150001","Renew","Shop","0","","تجديد","محل","Dubai International Airport","Al Murqabat","2025-12-11 23:26:31","مطار دبي الدولي","1","المرقبات","null","40","جهة","","2"
"75000","غرفتين و صالة","","وحدة","Residential","CNT1303660782","2 bed rooms+hall","","سكني","443","Person","2020-10-15","2021-11-14","Dubai Internet City","2","1","1","Mall of the Emirates","مدينة دبي للإنترنت","Unit","2","مول الإمارات","0","75000","New","Flat","1","Barsha Heights","جديد","شقه","Burj Al Arab","Al Thanyah First","2025-12-11 23:26:31","برج العرب","842","الثنيه الأولى","null","123","شخص","مرتفعات برشا","1"
"656000","غرفتين و صالة","","وحدة","Residential","CNT2109587789","2 bed rooms+hall","","سكني","301","Authority","2024-02-15","2025-02-14","STADIUM Metro Station","2","16","5","City Centre Mirdif","محطة مترو الاستاد","Unit","2","سيتي سنتر مردف","1","656000","New","Flat","0","","جديد","شقه","Dubai International Airport","Al Nahda Second","2025-12-11 23:26:31","مطار دبي الدولي","842","النهده الثانيه","null","100","جهة","","1"
"390000","محل","","وحدة","Commercial","CNT2112236603","Shop","","تجاري","242","Authority","2024-04-22","2025-05-09","Al Ras Metro Station","2","1","1","Dubai Mall","محطة مترو الراس","Unit","421","مول دبي","1","390000","New","Shop","0","","جديد","محل","Dubai International Airport","Al Ras","2025-12-11 23:26:31","مطار دبي الدولي","1","الراس","null","28","جهة","","1"
"18417","أستوديو","","وحدة","Residential","CNT1111947893","Studio","","سكني","239","Person","2019-11-01","2020-11-30","Salah Al Din Metro Station","2","1","1","Dubai Mall","محطة مترو صلاح الدين","Unit","11","مول دبي","0","17000","New","Flat","0","","جديد","شقه","Dubai International Airport","Al Baraha","2025-12-11 23:26:31","مطار دبي الدولي","842","البراحه","null","52","شخص","","1"
"42250","محل","","وحدة","Commercial","CNT2105527367","Shop","","تجاري","362","Authority","2024-01-01","2024-12-31","Baniyas Square Metro Station","2","1","1","Dubai Mall","محطة مترو ميدان بني ياس","Unit","421","مول دبي","1","42250","New","Shop","0","","جديد","محل","Dubai International Airport","Naif","2025-12-11 23:26:31","مطار دبي الدولي","1","نايف","null","15","جهة","","1"
"49000","غرفة و صالة","","وحدة","Residential","CNT906608305","1bed room+Hall","","سكني","244","Person","2018-12-15","2019-12-14","Abu Baker Al Siddique Metro Station","2","1","1","Dubai Mall","محطة مترو أبو بكر الصديق","Unit","1","مول دبي","0","49000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","Al Murqabat","2025-12-11 23:26:31","مطار دبي الدولي","842","المرقبات","null","1","شخص","","2"
"30000","أستوديو","REMRAAM","وحدة","Residential","CNT2054032902","Studio","رمرام","سكني","451","Person","2023-01-10","2024-01-09","","2","1","1","","","Unit","11","","0","30000","New","Flat","1","Remraam","جديد","شقه","Motor City","Al Hebiah Fifth","2025-12-11 23:26:31","موتور سيتي","842","الحبيه الخامسة","975","95","شخص","رمرام","1"
"30800","غرفة و صالة","","وحدة","Residential","CNT2118368977","1bed room+Hall","","سكني","239","Person","2024-08-20","2025-08-19","Salah Al Din Metro Station","2","1","1","Dubai Mall","محطة مترو صلاح الدين","Unit","1","مول دبي","0","30800","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","Al Baraha","2025-12-11 23:26:31","مطار دبي الدولي","842","البراحه","null","51","شخص","","2"
"60000","أستوديو","","وحدة","Residential","CRT360296986","Studio","","سكني","269","Person","2015-01-25","2016-01-24","Al Fahidi Metro Station","2","1","1","Dubai Mall","محطة مترو الفهيدي","Unit","11","مول دبي","0","60000","New","Flat","0","","جديد","شقه","Dubai International Airport","Al Hamriya","2025-12-11 23:26:31","مطار دبي الدولي","842","الحمريه","null","100","شخص","","1"
"47250","غرفة و صالة","","وحدة","Residential","CNT2072589755","1bed room+Hall","","سكني","441","Person","2023-03-02","2024-03-01","Dubai Internet City","2","1","1","Mall of the Emirates","مدينة دبي للإنترنت","Unit","1","مول الإمارات","0","47250","Renew","Flat","1","Jumeirah Village Circle","تجديد","شقه","Sports City Swimming Academy","Al Barsha South Fourth","2025-12-11 23:26:31","أكاديمية المدينة الرياضية للسباحة","842","البرشاء جنوب الرابعة","null","87","شخص","قرية جميرا الدائرية","2"
