Quarter,الربع السنوي,Description,HeaderField_Id,Title,HeaderField_Id2,العنوان,Quarter_Number,Type,الوصف,Year,Value,Item_id,النوع
"Third Quarter","الربع الثالث","Value","22491","Mortgages","23250","الرهون","3","Land","قيمة","2016","18414896348","362883","أرض"
"Third Quarter","الربع الثالث","Number","22492","Mortgages","23250","الرهون","3","Land","عدد","2016","1157","362883","أرض"
"Third Quarter","الربع الثالث","Value","22487","Other","23248","أخرى","3","Units","قيمة","2016","573527153","362884","وحده"
"Third Quarter","الربع الثالث","Number","22488","Other","23248","أخرى","3","Units","عدد","2016","545","362884","وحده"
"Third Quarter","الربع الثالث","Value","22489","Other","23249","أخرى","3","Building","قيمة","2016","165113127","362884","مبنى"
"Third Quarter","الربع الثالث","Number","22490","Other","23249","أخرى","3","Building","عدد","2016","21","362884","مبنى"
"Third Quarter","الربع الثالث","Value","22491","Other","23250","أخرى","3","Land","قيمة","2016","4767806661","362884","أرض"
"Third Quarter","الربع الثالث","Number","22492","Other","23250","أخرى","3","Land","عدد","2016","211","362884","أرض"
"Fourth Quarter","الربع الرابع","Value","22487","Sales","23248","المبايعات","4","Units","قيمة","2016","10065084671","362882","وحده"
"Fourth Quarter","الربع الرابع","Number","22488","Sales","23248","المبايعات","4","Units","عدد","2016","7485","362882","وحده"
"Fourth Quarter","الربع الرابع","Value","22489","Sales","23249","المبايعات","4","Building","قيمة","2016","1813751289","362882","مبنى"
"Fourth Quarter","الربع الرابع","Number","22490","Sales","23249","المبايعات","4","Building","عدد","2016","768","362882","مبنى"
"Fourth Quarter","الربع الرابع","Value","22491","Sales","23250","المبايعات","4","Land","قيمة","2016","15102017472","362882","أرض"
"Fourth Quarter","الربع الرابع","Number","22492","Sales","23250","المبايعات","4","Land","عدد","2016","3191","362882","أرض"
"Fourth Quarter","الربع الرابع","Value","22487","Mortgages","23248","الرهون","4","Units","قيمة","2016","2840964145","362883","وحده"
"Fourth Quarter","الربع الرابع","Number","22488","Mortgages","23248","الرهون","4","Units","عدد","2016","2064","362883","وحده"
"Fourth Quarter","الربع الرابع","Value","22489","Mortgages","23249","الرهون","4","Building","قيمة","2016","787390128","362883","مبنى"
"Fourth Quarter","الربع الرابع","Number","22490","Mortgages","23249","الرهون","4","Building","عدد","2016","449","362883","مبنى"
"Fourth Quarter","الربع الرابع","Value","22491","Mortgages","23250","الرهون","4","Land","قيمة","2016","51504997252","362883","أرض"
"Fourth Quarter","الربع الرابع","Number","22492","Mortgages","23250","الرهون","4","Land","عدد","2016","1385","362883","أرض"
"Fourth Quarter","الربع الرابع","Value","22487","Other","23248","أخرى","4","Units","قيمة","2016","888762500","362884","وحده"
"Fourth Quarter","الربع الرابع","Number","22488","Other","23248","أخرى","4","Units","عدد","2016","815","362884","وحده"
"Fourth Quarter","الربع الرابع","Value","22489","Other","23249","أخرى","4","Building","قيمة","2016","433407662","362884","مبنى"
"Fourth Quarter","الربع الرابع","Number","22490","Other","23249","أخرى","4","Building","عدد","2016","58","362884","مبنى"
"Fourth Quarter","الربع الرابع","Value","22491","Other","23250","أخرى","4","Land","قيمة","2016","3891961456","362884","أرض"
"Fourth Quarter","الربع الرابع","Number","22492","Other","23250","أخرى","4","Land","عدد","2016","324","362884","أرض"
"First Quarter","الربع الأول","Value","22487","Sales","23248","المبايعات","1","Units","قيمة","2017","14556749479","362882","وحده"
"First Quarter","الربع الأول","Number","22488","Sales","23248","المبايعات","1","Units","عدد","2017","10276","362882","وحده"
"First Quarter","الربع الأول","Value","22489","Sales","23249","المبايعات","1","Building","قيمة","2017","4697882276","362882","مبنى"
"First Quarter","الربع الأول","Number","22490","Sales","23249","المبايعات","1","Building","عدد","2017","1997","362882","مبنى"
"First Quarter","الربع الأول","Value","22491","Sales","23250","المبايعات","1","Land","قيمة","2017","18621387741","362882","أرض"
"First Quarter","الربع الأول","Number","22492","Sales","23250","المبايعات","1","Land","عدد","2017","2848","362882","أرض"
"First Quarter","الربع الأول","Value","22487","Mortgages","23248","الرهون","1","Units","قيمة","2017","2996649511","362883","وحده"
"First Quarter","الربع الأول","Number","22488","Mortgages","23248","الرهون","1","Units","عدد","2017","2260","362883","وحده"
"First Quarter","الربع الأول","Value","22489","Mortgages","23249","الرهون","1","Building","قيمة","2017","1253348833","362883","مبنى"
"First Quarter","الربع الأول","Number","22490","Mortgages","23249","الرهون","1","Building","عدد","2017","441","362883","مبنى"
"First Quarter","الربع الأول","Value","22491","Mortgages","23250","الرهون","1","Land","قيمة","2017","32957212757","362883","أرض"
"First Quarter","الربع الأول","Number","22492","Mortgages","23250","الرهون","1","Land","عدد","2017","1369","362883","أرض"
"First Quarter","الربع الأول","Value","22487","Other","23248","أخرى","1","Units","قيمة","2017","1044836725","362884","وحده"
"First Quarter","الربع الأول","Number","22488","Other","23248","أخرى","1","Units","عدد","2017","815","362884","وحده"
"First Quarter","الربع الأول","Value","22489","Other","23249","أخرى","1","Building","قيمة","2017","70266776","362884","مبنى"
"First Quarter","الربع الأول","Number","22490","Other","23249","أخرى","1","Building","عدد","2017","28","362884","مبنى"
"First Quarter","الربع الأول","Value","22491","Other","23250","أخرى","1","Land","قيمة","2017","5076461679","362884","أرض"
"First Quarter","الربع الأول","Number","22492","Other","23250","أخرى","1","Land","عدد","2017","234","362884","أرض"
"Second Quarter","الربع الثاني","Value","22487","Sales","23248","المبايعات","2","Units","قيمة","2017","9555681434","362882","وحده"
"Second Quarter","الربع الثاني","Number","22488","Sales","23248","المبايعات","2","Units","عدد","2017","7660","362882","وحده"
"Second Quarter","الربع الثاني","Value","22489","Sales","23249","المبايعات","2","Building","قيمة","2017","2229162901","362882","مبنى"
"Second Quarter","الربع الثاني","Number","22490","Sales","23249","المبايعات","2","Building","عدد","2017","907","362882","مبنى"
"Second Quarter","الربع الثاني","Value","22491","Sales","23250","المبايعات","2","Land","قيمة","2017","13030807010","362882","أرض"
"Second Quarter","الربع الثاني","Number","22492","Sales","23250","المبايعات","2","Land","عدد","2017","2140","362882","أرض"
