project_name_en,rooms,is_registered,pre_registration_number,property_sub_type_id,parent_property_id,project_name_ar,area_id,unit_parking_number,zone_id,property_type_id,is_lease_hold,unit_number,parking_allocation_type_en,project_id,land_sub_number,master_project_id,land_type_ar,parking_allocation_type_ar,common_area,floor,munc_number,actual_common_area,rooms_ar,property_type_en,is_free_hold,land_type_en,master_project_en,land_number,rooms_en,area_name_en,property_type_ar,creation_date,parcel_id,load_timestamp,property_id,area_name_ar,actual_area,property_sub_type_en,grandparent_property_id,land_type_id,unit_balcony_area,parking_allocation_type,property_sub_type_ar,master_project_ar,munc_zip_code,building_number
"null","1","1","null","60","1348132382","null","409","null","2","3","0","418","null","null","0","96","تجارى","null","0","4","1303","null","غرفة","Unit","1","Commercial","Arjan","100","1 B/R","Al Barshaa South Third","وحدة","2022-11-03 00:00:00","6731303","2026-02-26 16:09:32","484505947","البرشاء جنوب الثالثة","43.55","Flat","2092608748","4","5.98","null","شقه سكنيه","أرجان","673","2"
"Sobha Central Phase II","1","0","null","60","1713190417","II شوبا سنترال فيز ","445","1","2","3","0","A4813","null","802999842","0","17","تجارى","null","0.03","48","12756","43.1","غرفة","Unit","1","Commercial","DMCC-EZ2","489","1 B/R","Jabal Ali First","وحدة","2025-08-26 00:00:00","null","2026-02-26 16:09:32","1384538761","جبل علي الأولى","46.03","Flat","691293108","4","7.85","null","شقه سكنيه","مركز دبي للسلع المتعددة - المرحلة الثانية","591","1"
"null","2","null","null","null","1001453853638","null","271","null","2","3","null","201","null","null","0","null","تجارى","null","121.24","null","561","null","غرفتين و صالة","Unit","0","Commercial","null","696","2 bed rooms+hall","Al Karama","وحدة","2011-07-31 00:00:00","3180561","2026-02-26 16:09:32","1000843963125","الكرامه","121.24","null","1000208723922","4","null","null","null","null","318","696"
"null","12","null","null","null","null","null","372","null","2","3","null","S120","null","null","0","null","صناعى","null","11.5","2","733","null","غرفه سكن عمال","Unit","0","Industrial","null","19","Room in labor Camp","Al Goze Industrial Second","وحدة","2014-11-24 00:00:00","3650733","2026-02-26 16:09:32","1000118265237","القوز الصناعيه الثانيه","11.5","null","1000678204560","3","null","null","null","null","365","0"
"27 East End Garden Residences By Mirha Homes Real Estate Development","1","0","null","60","1418209722","إيست إند جاردن رسيدانس من ميرها هومز للتطوير العقاري  27","483","1","2","3","0","105","null","704245232","0","24","null","null","1.7885","1","1283","102.97","غرفة","Unit","1","null","International City Phase 3","223","1 B/R","Warsan Fourth","وحدة","2025-01-09 00:00:00","6241283","2026-02-26 16:09:32","1249673788","ورسان الرابعة","99.45","Flat","37788460","null","40.73","null","شقه سكنيه","المدينة العالمية - المرحلة الثالثة","624","1"
"null","1","null","null","null","null","null","297","null","1","3","null","211","null","null","0","null","null","null","67.06","2","766","null","غرفة و صالة","Unit","0","null","null","253","1bed room+Hall","Al Warqa First","وحدة","2021-09-30 00:00:00","4210766","2026-02-26 16:09:32","1001876071755","الورقاء الاولى","67.06","null","1000791612269","null","null","null","null","null","421","253"
"Grove Ridge","2","0","null","60","1232249500","غروف ريدج","462","1","2","3","0","106","null","840977180","0","123","مؤسسات حكومية","null","0.68","1","3508","159.22","غرفتان","Unit","1","Government Authorities","Dubai World Central","7168","2 B/R","Madinat Al Mataar","وحدة","2025-11-12 00:00:00","5213508","2026-02-26 16:09:32","1839115518","مدينة المطار","152.64","Flat","33173813","6","45.83","null","شقه سكنيه","دبي ورلد سنترال","521","2"
"VERDANIA 4","1","0","null","60","1176176900","فيردانيا 4","467","1","2","3","0","416","null","853803453","0","215","تجارى","null","0.27","4","8553","50.47","غرفة","Unit","1","Commercial","Dubai Land Residence Complex","121","1 B/R","Wadi Al Safa 5","وحدة","2026-01-20 00:00:00","6488553","2026-02-26 16:09:32","1762590904","وادي الصفا 5","77.02","Flat","82265269","4","12.36","null","شقه سكنيه","مجمع دبي لاند السكني","648","1"
"null","11","null","null","null","null","null","249","null","1","3","null","153B","null","null","0","null","تجارى","null","89.2791","1","1084","null","أستوديو","Unit","0","Commercial","null","295","Studio","Al Muteena","وحدة","2019-10-23 00:00:00","1231084","2026-02-26 16:09:32","1002035313561","المطينه","89.28","null","1000221624817","4","null","null","null","null","123","295"
"null","1","1","null","60","1496453502","null","395","null","2","3","0","344","null","null","0","198","صناعى","null","0","3","665","null","غرفة","Unit","1","Industrial","JABAL ALI INDUSTRIAL DEVELOPMENT","1382","1 B/R","Jabal Ali Industrial First","وحدة","2021-03-28 00:00:00","5990665","2026-02-26 16:09:32","1530133786","جبل على الصناعية الأولى","14.85","Flat","631735175","3","0","null","شقه سكنيه","جبل علي الصناعية للتطوير","599","1"
"null","12","null","null","null","null","null","347","null","2","3","null","0-151","null","null","0","null","تجارى","null","12.86","1","584","null","غرفه سكن عمال","Unit","0","Commercial","null","92","Room in labor Camp","Al Goze Third","وحدة","2015-02-25 00:00:00","3580584","2026-02-26 16:09:32","1001315853519","القوز الثالثه","12.86","null","1001379785104","4","null","null","null","null","358","0"
"null","2","null","null","null","null","null","301","null","1","3","null","1205","null","null","0","null","تجارى","null","100","12","490","null","غرفتين و صالة","Unit","0","Commercial","null","295","2 bed rooms+hall","Al Nahda Second","وحدة","2013-04-02 00:00:00","2410490","2026-02-26 16:09:32","1000234665290","النهده الثانيه","100","null","1001638488097","4","null","null","null","null","241","0"
"null","3","null","null","null","null","null","368","null","2","3","null","523","null","null","0","null","null","null","147.9999","5","1094","null","ثلاثة غرفة و صالة","Unit","0","null","null","163","3 bed rooms+hall","Al Barsha First","وحدة","2019-10-14 00:00:00","3731094","2026-02-26 16:09:32","1000345556654","البرشاء الاولى","148","null","1000270636279","null","null","null","null","null","373","163"
"null","422","null","null","null","null","null","395","null","2","3","null","Office No. 5","null","null","0","null","صناعى","null","22.52","G","410","null","مكتب","Unit","0","Industrial","null","584","Office","Jabal Ali Industrial First","وحدة","2022-10-27 00:00:00","5990410","2026-02-26 16:09:32","1001428718252","جبل على الصناعية الأولى","22.52","null","1001373559743","3","null","null","null","null","599","584"
