project_name_en,rooms,is_registered,pre_registration_number,property_sub_type_id,parent_property_id,project_name_ar,area_id,unit_parking_number,zone_id,property_type_id,is_lease_hold,unit_number,parking_allocation_type_en,project_id,land_sub_number,master_project_id,land_type_ar,parking_allocation_type_ar,common_area,floor,munc_number,actual_common_area,rooms_ar,property_type_en,is_free_hold,land_type_en,master_project_en,land_number,rooms_en,area_name_en,property_type_ar,creation_date,parcel_id,load_timestamp,property_id,area_name_ar,actual_area,property_sub_type_en,grandparent_property_id,land_type_id,unit_balcony_area,parking_allocation_type,property_sub_type_ar,master_project_ar,munc_zip_code,building_number
"Lamaa","1","0","null","60","740087536","لـمّـــاع","370","1","2","3","0","806","null","443948947","0","null","تجارى","null","0.17","8","844","54.64","غرفة","Unit","1","Commercial","null","694","1 B/R","Um Suqaim Third","وحدة","2022-09-29 00:00:00","3660844","2026-02-26 16:09:32","485221706","ام سقيم الثالثه","68.92","Flat","1753863673","4","7.87","null","شقه سكنيه","null","366","2"
"null","26","1","null","60","938531676","null","462","P1-43","2","3","0","3D-1201","null","null","0","123","مؤسسات حكومية","null","0.05","12","null","27.58","استوديو","Unit","1","Government Authorities","Dubai World Central","2527","Studio","Madinat Al Mataar","وحدة","2023-08-21 00:00:00","null","2026-02-26 16:09:32","1025149016","مدينة المطار","37.68","Flat","686831284","6","0","null","شقه سكنيه","دبي ورلد سنترال","521","4"
"Binghatti Flare 02","26","0","null","60","1678113637","بن غاطي فلير 02","442","1","2","3","0","814","null","795178819","0","10","تجارى","null","0.09","8","8902","36.26","استوديو","Unit","1","Commercial","Jumeirah Village Triangle","216","Studio","Al Barsha South Fifth","وحدة","2025-09-01 00:00:00","6848902","2026-02-26 16:09:32","909734170","البرشاء جنوب الخامسة","37.73","Flat","549768450","4","8.73","null","شقه سكنيه","قرية جميرا المثلثة","684","1"
"null","2","1","null","60","2022424581","null","343","null","2","3","0","404","null","null","0","23","سكنى","null","1.3877","3","1719","null","غرفتان","Unit","1","Residential","International City Phase 1","95","2 B/R","Al Warsan First","وحدة","2013-01-07 00:00:00","6211719","2026-02-26 16:09:32","2046590390","ورسان الاولى","82.97","Flat","1143836546","1","5.03","null","شقه سكنيه","المدينة العالمية - المرحلة الاولى","621","1"
"ASPIRZ By Danube","0","0","null","42","747296511","أسبايرز من دانوب","435","2","2","3","0","918","null","774553524","0","98","صناعى","null","0.4","9","4303","22","غير معرف","Unit","1","Industrial","Dubai Sports City","125","NA","Al Hebiah Fourth","وحدة","2025-09-22 00:00:00","6824303","2026-02-26 16:09:32","1382150791","الحبيه الرابعة","74.79","Office","441414843","3","0","null","مكتب","مدينة دبي الرياضية","682","1"
"null","2","null","null","null","1001357876868","null","278","null","2","3","null","609","null","null","0","null","تجارى","null","1100","6","218","null","غرفتين و صالة","Unit","0","Commercial","null","440","2 bed rooms+hall","Mankhool","وحدة","2012-01-24 00:00:00","3170218","2026-02-26 16:09:32","1000253082243","منخول","1100","null","1000700757894","4","null","null","null","null","317","0"
"null","422","null","null","null","null","null","235","null","1","3","null","216","null","null","0","null","تجارى","null","null","null","445","null","مكتب","Unit","0","Commercial","null","259","Office","Eyal Nasser","وحدة","2012-09-29 00:00:00","1160445","2026-02-26 16:09:32","1000568900362","عيال ناصر","null","null","1000497208685","4","null","null","null","null","116","null"
"null","11","null","null","null","null","null","362","null","1","3","null","FLAT 310","null","null","0","null","تجارى","null","0","0","582","null","أستوديو","Unit","0","Commercial","null","434","Studio","Naif","وحدة","2015-11-25 00:00:00","1180582","2026-02-26 16:09:32","1000747392927","نايف","50","null","1001734917609","4","null","null","null","null","118","null"
"EMPIRE GARDENS","1","0","null","60","1238768166","إمباير جاردنز","467","1","2","3","0","815","null","849338780","0","215","تجارى","null","0.55","8","9020","60.32","غرفة","Unit","1","Commercial","Dubai Land Residence Complex","1681","1 B/R","Wadi Al Safa 5","وحدة","2026-01-13 00:00:00","6489020","2026-02-26 16:09:32","1415652251","وادي الصفا 5","83.83","Flat","1565069195","4","21.54","null","شقه سكنيه","مجمع دبي لاند السكني","648","1"
"null","1","null","null","null","1001659604518","null","305","null","1","3","null","FLAT-236","null","null","0","null","تجارى","null","0","-","336","null","غرفة و صالة","Unit","0","Commercial","null","23","1bed room+Hall","AL QUSAIS","وحدة","2011-08-16 00:00:00","2320336","2026-02-26 16:09:32","1000280947399","القصيص","0","null","1000801146046","4","null","null","null","null","232","23"
"ELLINGTON SANDS I","1","0","null","60","735396781"," I إلينغتون ساندز","432","1","1","3","0","A-911","null","826418840","0","4","تجارى","null","0.14","9","150","67.34","غرفة","Unit","1","Commercial","Palm Deira","1235","1 B/R","Palm Deira","وحدة","2025-10-21 00:00:00","1010150","2026-02-26 16:09:32","1413620658","نخلة ديرة","74.41","Flat","1688547987","4","11.47","null","شقه سكنيه","نخلة ديرة","101","1"
"Collective","1","1","null","60","619489006","كولكتيف","482","B1-56","2","3","0","804","null","170104609","0","545","تجارى","null","0.17","8","2345","47.86","غرفة","Unit","1","Commercial","Dubai Hills Estate","3414","1 B/R","Hadaeq Sheikh Mohammed Bin Rashid","وحدة","2018-04-11 00:00:00","6312345","2026-02-26 16:09:32","575939174","حدائق الشيخ محمد بن راشد","45.38","Flat","1126788958","4","2.47","null","شقه سكنيه"," دبي هيلز استيت ","631","1"
"null","12","null","null","null","null","null","372","null","2","3","null","1B - 041","null","null","0","null","صناعى","null","19.4","1","285","null","غرفه سكن عمال","Unit","0","Industrial","null","18","Room in labor Camp","Al Goze Industrial Second","وحدة","2016-02-28 00:00:00","3650285","2026-02-26 16:09:32","1000897265859","القوز الصناعيه الثانيه","19.4","null","1001387541894","3","null","null","null","null","365","0"
"null","422","null","null","null","null","null","233","null","1","3","null","1F/-08","null","null","0","null","تجارى","null","30","1","288","null","مكتب","Unit","0","Commercial","null","1128","Office","Hor Al Anz","وحدة","2023-04-19 00:00:00","1270288","2026-02-26 16:09:32","1000319665288","هور العنز","30","null","1000256654256","4","null","null","null","null","127","0"
"RUFI LAKE VIEW","1","0","null","60","272629909","روفي ليك فيو","441","null","2","3","0","507","null","814","0","9","تجارى","null","1.6295","5","7152","1.63","غرفة","Unit","1","Commercial","Jumeirah Village Circle","389","1 B/R","Al Barsha South Fourth","وحدة","2009-05-07 00:00:00","6817152","2026-02-26 16:09:32","400688234","البرشاء جنوب الرابعة","61.02","Flat","2087840756","4","10","null","شقه سكنيه","قرية جميرا الدائرية","681","RUFI LAKE VIEW"
"Art House Hills by Adaan and Tuscany ","0","0","null","23","120685925","آرت هاوس هيلز من قِبَل آدان و توسكاني","409","7","2","3","0","RETAIL","null","846669976","0","96","تجارى","null","1.69","G","124","379.96","غير معرف","Unit","1","Commercial","Arjan","381","NA","Al Barshaa South Third","وحدة","2025-12-29 00:00:00","6730124","2026-02-26 16:09:32","1958166385","البرشاء جنوب الثالثة","487.47","Shop","549484393","4","0","null","محل","أرجان","673","1"
"null","421","null","null","null","null","null","362","null","1","3","null","G03","null","null","0","null","تجارى","null","22","G","1274","null","محل","Unit","0","Commercial","null","122","Shop","Naif","وحدة","2020-07-06 00:00:00","1181274","2026-02-26 16:09:32","1000029963226","نايف","22","null","1001118446800","4","null","null","null","null","118","0"
"null","521","null","null","null","null","null","333","null","2","3","null","426","null","null","0","null","تجارى","null","56","4","2723","null","Hotel","Unit","0","Commercial","null","256","Hotel","Madinat Dubai Almelaheyah","وحدة","2019-02-07 00:00:00","3212723","2026-02-26 16:09:32","1000154487926","مدينة دبي الملاحية","56","null","null","4","null","null","null","null","321","0"
"Rise by Athlon 2","1","0","null","60","1367151131","رايز من أثلون 2","467","1","2","3","0","T1- 1804","null","803277746","0","null","تجارى","null","0.17","18","10337","83.03","غرفة","Unit","1","Commercial","null","11742","1 B/R","Wadi Al Safa 5","وحدة","2025-08-15 00:00:00","null","2026-02-26 16:09:32","2042814331","وادي الصفا 5","82.04","Flat","980245843","4","8","null","شقه سكنيه","null","648","1"
"Symphony","2","0","null","60","1530930939","سيمفوني ","507","1","2","3","0","612","null","538932867","0","187","تجارى","null","0.26","6","9271","90.17","غرفتان","Unit","1","Commercial","TOWN SQUARE","356","2 B/R","Al Yelayiss 2","وحدة","2023-09-22 00:00:00","9229271","2026-02-26 16:09:32","247073252","اليلايس 2","85.9","Flat","1218898329","4","7.31","null","شقه سكنيه","تاون سكوير","922","1"
"null","null","null","null","null","null","null","271","null","2","null","null","110-0501            ","null","null","0","null","null","null","null","null","449","null","null","null","0","null","null","407","null","Al Karama","null","2022-08-22 00:00:00","3180449","2026-02-26 16:09:32","1000651381169","الكرامه","null","null","null","null","null","null","null","null","318","0"
"null","2","null","null","null","null","null","301","null","1","3","null","FLAT 101","null","null","0","null","تجارى","null","102.65","1","366","null","غرفتين و صالة","Unit","0","Commercial","null","167","2 bed rooms+hall","Al Nahda Second","وحدة","2014-01-19 00:00:00","2410366","2026-02-26 16:09:32","1001603252219","النهده الثانيه","102.65","null","1000522874573","4","null","null","null","null","241","0"
"null","null","null","null","null","null","null","271","null","2","null","null","D-66                ","null","null","0","null","null","null","null","null","488","null","null","null","0","null","null","335","null","Al Karama","null","2024-12-09 00:00:00","3180488","2026-02-26 16:09:32","1001099963199","الكرامه","null","null","null","null","null","null","null","null","318","0"
"null","1","null","null","null","null","null","320","null","1","3","null","FLAT NO 205","null","null","0","null","تجارى","null","0","0","113","null","غرفة و صالة","Unit","0","Commercial","null","3","1bed room+Hall","Al Qusais Industrial Second","وحدة","2013-08-27 00:00:00","2430113","2026-02-26 16:09:32","1002070407583","القصيص الصناعيه الثانيه","0","null","1001701967427","4","null","null","null","null","243","null"
"null","null","null","null","null","null","null","395","null","2","null","null","LBRC0432            ","null","null","0","null","null","null","null","null","598","null","null","null","0","null","null","238","null","Jabal Ali Industrial First","null","2014-12-21 00:00:00","5990598","2026-02-26 16:09:32","1001256029622","جبل على الصناعية الأولى","null","null","null","null","null","null","null","null","599","0"
"Jewelz Residence","26","1","null","60","2142177254","جويلز رزيدنس","409","P1-5","2","3","0","505","null","162934404","0","96","تجارى","null","0.15","5","4121","41.1","استوديو","Unit","1","Commercial","Arjan","371","Studio","Al Barshaa South Third","وحدة","2018-03-05 00:00:00","6734121","2026-02-26 16:09:32","949045583","البرشاء جنوب الثالثة","39.24","Flat","1492741373","4","7.68","null","شقه سكنيه","أرجان","673","1"
"null","26","0","null","60","1344617479","null","441","null","2","3","null","12","null","null","0","null","null","null","8.0826","0","null","8.08","استوديو","Unit","null","null","null","null","Studio","Al Barsha South Fourth","وحدة","2008-10-19 00:00:00","null","2026-02-26 16:09:32","576030859","البرشاء جنوب الرابعة","49.52","Flat","null","null","11","null","شقه سكنيه","null","681","Lawns II"
"null","12","null","null","null","null","null","395","null","2","3","null","339","null","null","0","null","صناعى","null","29.6","3","2280","null","غرفه سكن عمال","Unit","0","Industrial","null","554","Room in labor Camp","Jabal Ali Industrial First","وحدة","2019-01-24 00:00:00","5992280","2026-02-26 16:09:32","1001917992560","جبل على الصناعية الأولى","29.6","null","1000375065576","3","null","null","null","null","599","0"
"Rove Home Marasi Drive","26","0","null","60","977891816","روف منازل مراسي درايف","526","1","2","3","0","W-604","null","588490308","0","112","تجارى","null","0.09","6","643","48.81","استوديو","Unit","1","Commercial","Business Bay","93","Studio","Business Bay","وحدة","2024-03-06 00:00:00","3460643","2026-02-26 16:09:32","1472324212","الخليج التجارى","36.62","Flat","1952479730","4","7.39","null","شقه سكنيه","الخليج التجاري","346","1"
"THE ROYAL ESTATES PLOT.2","2","0","null","60","1473262301","ذا رويال استيت أرض 2 ","458","null","2","3","1","G03","null","945","0","106","تجارى","null","0.0032","G","1421","0","غرفتان","Unit","null","Commercial","Dubai Investment Park First","2","2 B/R","Dubai Investment Park First","وحدة","2009-12-31 00:00:00","5981421","2026-02-26 16:09:32","1995921975","مجمع دبي للاستثمار الاول","163.06","Flat","734238323","4","24","null","شقه سكنيه","مجمع دبي للاستثمار الاول","598","GATEWAY EAST 1"
"null","3","null","null","null","null","null","267","null","2","3","null","1","null","null","1","null","تجارى","null","null","null","394","null","ثلاثة غرفة و صالة","Unit","0","Commercial","null","81","3 bed rooms+hall","Al Raffa","وحدة","2013-05-01 00:00:00","3160394","2026-02-26 16:09:32","1001346498563","الرفاعه","3000","null","1001081202388","4","null","null","null","null","316","null"
"null","null","null","null","null","null","null","395","null","2","null","null","LBRC0300            ","null","null","0","null","null","null","null","null","570","null","null","null","0","null","null","232","null","Jabal Ali Industrial First","null","2018-01-23 00:00:00","5990570","2026-02-26 16:09:32","1001813097623","جبل على الصناعية الأولى","null","null","null","null","null","null","null","null","599","0"
"HARBOUR VIEWS","1","1","null","60","22179444","هاربور فيوز","447","B2-57","2","3","0","4107","null","27388864","0","547","صناعى","null","0.17","41","8719","58.38","غرفة","Unit","1","Industrial","Dubai Creek Harbour","106","1 B/R","Al Khairan First","وحدة","2016-01-21 00:00:00","4158719","2026-02-26 16:09:32","1102492690","الخيران الأولى","67.75","Flat","1609141183","3","4.4","null","شقه سكنيه","خور دبي","415","1"
"GALLERY VILLAS","58","1","null","42","651419512"," جاليري فيلا","435","null","2","3","0","1","null","320","0","98","تجارى","null","0","1","286","null","مكتب","Unit","1","Commercial","Dubai Sports City","1285","Office","Al Hebiah Fourth","وحدة","2015-01-07 00:00:00","6820286","2026-02-26 16:09:32","529638756","الحبيه الرابعة","44.74","Office","1629785975","4","null","null","مكتب","مدينة دبي الرياضية","682","1"
"null","3","1","null","60","1327867482","null","465","B1-025, B1-026","2","3","0","206","null","null","0","91","تجارى","null","0.4","2","7764","140.27","ثلاث غرف","Unit","1","Commercial","Majan","436","3 B/R","Wadi Al Safa 3","وحدة","2014-03-27 00:00:00","6457764","2026-02-26 16:09:32","1841830209","وادي الصفا 3","153.06","Flat","568457153","4","12.32","null","شقه سكنيه","ماجان","645","1"
"Lacina","2","0","null","60","1899429986","لاسينا","466","1","2","3","0","402","null","669517874","0","null","تجارى","null","0.46","4","147","134.39","غرفتان","Unit","1","Commercial","null","522","2 B/R","Wadi Al Safa 4","وحدة","2024-10-31 00:00:00","6460147","2026-02-26 16:09:32","303149846","وادي الصفا 4","156.46","Flat","381834001","4","25.9","null","شقه سكنيه","null","646","2"
"null","11","null","null","null","1000194380823","null","271","null","2","3","null","223","null","null","0","null","تجارى","null","0","2","319","null","أستوديو","Unit","0","Commercial","null","271","Studio","Al Karama","وحدة","2011-08-24 00:00:00","3180319","2026-02-26 16:09:32","1001130776214","الكرامه","0","null","null","4","null","null","null","null","318","271"
"null","1","null","null","null","null","null","266","null","2","3","null","202","null","null","0","null","تجارى","null","0","2","2868","null","غرفة و صالة","Unit","0","Commercial","null","838","1bed room+Hall","Al Satwa","وحدة","2018-03-07 00:00:00","3342868","2026-02-26 16:09:32","1001722948329","السطوه","55","null","1000377713596","4","null","null","null","null","334","null"
"AMAL TOWER","2","1","null","60","1508524924","برج امل","435","B2-105","2","3","0","812","null","591","0","98","صناعى","null","0.42","8","146","61.73","غرفتان","Unit","1","Industrial","Dubai Sports City","19","2 B/R","Al Hebiah Fourth","وحدة","2009-04-21 00:00:00","6820146","2026-02-26 16:09:32","113029390","الحبيه الرابعة","117.1","Flat","337995555","3","33.17","null","شقه سكنيه","مدينة دبي الرياضية","682","1"
"null","12","null","null","null","null","null","360","null","1","3","null","G02","null","null","0","null","تجارى","null","10","G","1032","null","غرفه سكن عمال","Unit","0","Commercial","null","20","Room in labor Camp","Muhaisanah Second","وحدة","2015-05-13 00:00:00","2641032","2026-02-26 16:09:32","1002016489406","محيصنه الثانيه","10","null","1002050397088","4","null","null","null","null","264","0"
"ROYAL AMWAJ","26","1","null","60","1528433332","رويال أمواج","410","B-521","2","3","0","802D","null","356","0","1","تجارى","null","0.17","8","2773","26.96","استوديو","Unit","1","Commercial","Palm Jumeirah","65","Studio","Palm Jumeirah","وحدة","2019-07-22 00:00:00","3812773","2026-02-26 16:09:32","261228426","نخلة جميرا","64.15","Flat","1069072703","4","5.95","null","شقه سكنيه","نخلة جميرا","381","1"
"null","45","1","null","23","808904955","null","502","null","2","3","0","SG-145","null","null","0","null","null","null","0","G","7199","null","محل","Unit","1","null","null","5","Shop","Madinat Hind 1","وحدة","2023-05-24 00:00:00","9117199","2026-02-26 16:09:32","169173688","مدينة هند 1","128.05","Shop","1740685850","null","0","null","محل","null","911","1"
"null","2","0","null","101","1626690305","null","526","1","2","3","null","2907","null","null","0","null","null","null","0.07","29","null","null","غرفتان","Unit","null","null","null","null","2 B/R","Business Bay","وحدة","2016-02-17 00:00:00","null","2026-02-26 16:09:32","1368330641","الخليج التجارى","96.58","Hotel Apartment","null","null","13.25","null","شقة فندقية","null","346","1"
"null","null","null","null","null","null","null","309","null","2","null","null","S01                 ","null","null","0","null","null","null","null","null","648","null","null","null","0","null","null","455","null","Al Goze Industrial Third","null","2018-01-18 00:00:00","3680648","2026-02-26 16:09:32","1001896597876","القوز الصناعيه الثالثه","null","null","null","null","null","null","null","null","368","70"
"null","2","null","null","null","null","null","343","null","2","3","null","104","null","null","0","null","تجارى","null","null","null","1987","null","غرفتين و صالة","Unit","0","Commercial","null","526","2 bed rooms+hall","Al Warsan First","وحدة","2014-03-02 00:00:00","6211987","2026-02-26 16:09:32","1001994976660","ورسان الاولى","1","null","1000879322350","4","null","null","null","null","621","null"
"MAK I'Sola Bella","1","0","null","60","1975212745","ماك إيسولا بيلا","441","1  0","2","3","0","1610","null","613104734","0","9","تجارى","null","0.55","16","7808","86.61","غرفة","Unit","1","Commercial","Jumeirah Village Circle","2038","1 B/R","Al Barsha South Fourth","وحدة","2024-05-16 00:00:00","6817808","2026-02-26 16:09:32","1232579095","البرشاء جنوب الرابعة","68.63","Flat","1107532801","4","14.3","null","شقه سكنيه","قرية جميرا الدائرية","681","1"
"null","13","null","null","null","null","null","395","null","2","3","null","Warehouse 56","null","null","0","null","صناعى","null","null","null","419","null","مستودع","Unit","0","Industrial","null","7","Warehouse","Jabal Ali Industrial First","وحدة","2012-12-16 00:00:00","5990419","2026-02-26 16:09:32","1001609676946","جبل على الصناعية الأولى","3000","null","1000488969888","3","null","null","null","null","599","null"
"THE EXCHANGE","58","1","null","42","1277615015","اكستشانج","526","B3-116,B3-117,B3-118","2","3","0","1501","null","490","0","112","تجارى","null","0.68","15","474","234.45","مكتب","Unit","1","Commercial","Business Bay","187","Office","Business Bay","وحدة","2010-02-15 00:00:00","3460474","2026-02-26 16:09:32","1723673775","الخليج التجارى","212.69","Office","1491874441","4","null","null","مكتب","الخليج التجاري","346","1"
"null","null","null","null","null","null","null","240","null","1","null","null","301-15              ","null","null","0","null","null","null","null","null","621","null","null","null","0","null","null","440","null","Port Saeed","null","2024-01-29 00:00:00","1290621","2026-02-26 16:09:32","1002041670931","بور سعيد","null","null","null","null","null","null","null","null","129","0"
"null","null","1","null","23","1307531402","null","432","null","1","3","0","DNM-V03-R39-3014","null","null","0","4","تجارى","null","0","G","634","null","null","Unit","1","Commercial","Palm Deira","402","null","Palm Deira","وحدة","2021-05-31 00:00:00","1010634","2026-02-26 16:09:32","144809480","نخلة ديرة","16","Shop","998085380","4","0","null","محل","نخلة ديرة","101","1"
"Sobha Central Phase I","2","0","null","60","706019458","I شوبا سنترال فيز","445","1","2","3","0","D5904","null","748053613","0","17","تجارى","null","0.06","59","12756","116.44","غرفتان","Unit","1","Commercial","DMCC-EZ2","489","2 B/R","Jabal Ali First","وحدة","2025-07-11 00:00:00","null","2026-02-26 16:09:32","1565192697","جبل علي الأولى","111.67","Flat","691293108","4","16.99","null","شقه سكنيه","مركز دبي للسلع المتعددة - المرحلة الثانية","591","4"
"null","12","null","null","null","null","null","395","null","2","3","null","423","null","null","0","null","صناعى","null","29.67","4","2256","null","غرفه سكن عمال","Unit","0","Industrial","null","666","Room in labor Camp","Jabal Ali Industrial First","وحدة","2019-04-08 00:00:00","5992256","2026-02-26 16:09:32","1001576419019","جبل على الصناعية الأولى","29.67","null","1000190235409","3","null","null","null","null","599","666"
"null","1","1","null","60","1632565680","null","484","null","2","3","1","1002","null","null","0","87","تجارى","null","0","10","1639","null","غرفة","Unit","0","Commercial","Silicon Oasis","1214","1 B/R","Nadd Hessa","وحدة","2014-02-19 00:00:00","6261639","2026-02-26 16:09:32","1268998723","ند حصة","97.05","Flat","1180102894","4","11.02","null","شقه سكنيه","واحة السيليكون","626","1"
"null","11","null","null","null","null","null","348","null","2","3","null","103","null","null","0","null","null","null","64.81","1","950","null","أستوديو","Unit","0","null","null","350","Studio","Al Goze Fourth","وحدة","2024-01-24 00:00:00","3590950","2026-02-26 16:09:32","1002085690226","القوز الرابعه","64.81","null","1001287750513","null","null","null","null","null","359","0"
"null","3","null","null","null","null","null","357","null","1","3","null","312","null","null","0","null","تجارى","null","151","3","697","null","ثلاثة غرفة و صالة","Unit","0","Commercial","null","308","3 bed rooms+hall","AL TWAR FIFTH","وحدة","2013-06-16 00:00:00","2330697","2026-02-26 16:09:32","1002096311548","الطوار الخامسة","1","null","1001766710879","4","null","null","null","null","233","null"
"null","11","null","null","null","null","null","238","null","1","3","null","6","null","null","0","null","تجارى","null","0","0","414","null","أستوديو","Unit","0","Commercial","null","7","Studio","Al Dhagaya","وحدة","2013-07-09 00:00:00","1130414","2026-02-26 16:09:32","1001542378148","الضغايه","0","null","1001118784264","4","null","null","null","null","113","null"
"null","null","null","null","null","null","null","360","null","1","null","null","LBRC0104            ","null","null","0","null","null","null","null","null","404","null","null","null","0","null","null","382","null","Muhaisanah Second","null","2014-12-21 00:00:00","2640404","2026-02-26 16:09:32","1000131502819","محيصنه الثانيه","null","null","null","null","null","null","null","null","264","0"
"null","421","null","null","null","null","null","362","null","1","3","null","006","null","null","0","null","تجارى","null","null","null","778","null","محل","Unit","0","Commercial","null","924","Shop","Naif","وحدة","2012-08-29 00:00:00","1180778","2026-02-26 16:09:32","1002030814276","نايف","null","null","null","4","null","null","null","null","118","null"
"null","null","1","null","23","600683150","null","322","null","1","3","0","SHOP 7","null","null","0","null","تجارى","null","0","G","144","null","null","Unit","1","Commercial","null","189","null","Al Qusais Industrial Fourth","وحدة","2021-05-11 00:00:00","2470144","2026-02-26 16:09:32","1738238742","القصيص الصناعيه الرابعه","160.09","Shop","761305445","4","0","null","محل","null","247","1"
"null","2","null","null","null","null","null","297","null","1","3","null","303","null","null","0","null","تجارى","null","94","3","492","null","غرفتين و صالة","Unit","0","Commercial","null","351","2 bed rooms+hall","Al Warqa First","وحدة","2017-01-17 00:00:00","4210492","2026-02-26 16:09:32","1002114895449","الورقاء الاولى","94","null","null","4","null","null","null","null","421","0"
"null","45","1","null","23","7457262","null","343","null","2","3","0","HAH05","null","null","0","23","تجارى","null","0","G","null","null","محل","Unit","1","Commercial","International City Phase 1","311","Shop","Al Warsan First","وحدة","2012-09-26 00:00:00","null","2026-02-26 16:09:32","1838098122","ورسان الاولى","20","Shop","1703912769","4","null","null","محل","المدينة العالمية - المرحلة الاولى","621","1"
"null","null","null","null","null","null","null","240","null","1","null","null","OFM01-01            ","null","null","0","null","null","null","null","null","163","null","null","null","0","null","null","347","null","Port Saeed","null","2024-12-10 00:00:00","1290163","2026-02-26 16:09:32","1000931813514","بور سعيد","null","null","null","null","null","null","null","null","129","0"
"null","422","null","null","null","null","null","347","null","2","3","null","634-103","null","null","0","null","تجارى","null","48","1","634","null","مكتب","Unit","0","Commercial","null","105","Office","Al Goze Third","وحدة","2015-01-05 00:00:00","3580634","2026-02-26 16:09:32","1001521050454","القوز الثالثه","48","null","1001355184545","4","null","null","null","null","358","0"
"null","1","1","null","60","1168444310","null","351","G-45","2","3","0","202","null","null","0","33","سكنى","null","0.0041","2","1489","null","غرفة","Unit","1","Residential","The Greens","12","1 B/R","Al Thanyah Third","وحدة","null","3881489","2026-02-26 16:09:32","2072680367","الثنيه الثالثة","78.13","Flat","1614214653","1","5.2","null","شقه سكنيه","الروضة","388","3"
"330 Riverside Crescent","1","0","null","60","2012173000","ريفرسايد كريسنت 330","405","1","2","3","0","3308","null","539886947","0","null","مرافق عامة","null","0.14","33","699","74.53","غرفة","Unit","1","Public Facilities","null","406","1 B/R","Bukadra","وحدة","2023-10-30 00:00:00","6110699","2026-02-26 16:09:32","827315792","بوكدرة","78.99","Flat","1014179510","5","5.6","null","شقه سكنيه","null","611","1"
"Binghatti Flare 01","1","0","null","60","930952856","بن غاطي فلير 01","442","1","2","3","0","1502","null","795170983","0","10","تجارى","null","0.13","15","8899","75.52","غرفة","Unit","1","Commercial","Jumeirah Village Triangle","645","1 B/R","Al Barsha South Fifth","وحدة","2025-08-17 00:00:00","6848899","2026-02-26 16:09:32","378300345","البرشاء جنوب الخامسة","78.57","Flat","131556232","4","19.53","null","شقه سكنيه","قرية جميرا المثلثة","684","1"
"null","1","1","null","60","1025502528","null","264","null","1","3","0","511","null","null","0","null","تجارى","null","0","5","8083","null","غرفة","Unit","1","Commercial","null","2286","1 B/R","Nad Al Hamar","وحدة","2018-06-24 00:00:00","4168083","2026-02-26 16:09:32","1868939148","ند الحمر","85.61","Flat","1434949644","4","null","null","شقه سكنيه","null","416","1"
"FIVE LUXE","3","1","null","60","375426658","فايف لاكس","330","B2-77, B2-78","2","3","0","4804","null","380378231","0","null","تجارى","null","0.89","48","549","117.3","ثلاث غرف","Unit","1","Commercial","null","3609","3 B/R","Marsa Dubai","وحدة","2022-02-15 00:00:00","3920549","2026-02-26 16:09:32","1382428114","مرسى دبي","299.44","Flat","19377821","4","96.6","null","شقه سكنيه","null","392","1"
"CRYSTAL TOWER","1","0","null","60","1372052380","برج كريستال","526","null","2","3","0","1304","null","72","0","112","تجارى","null","17.0542","13","749","17.05","غرفة","Unit","1","Commercial","Business Bay","32","1 B/R","Business Bay","وحدة","2009-05-07 00:00:00","3460749","2026-02-26 16:09:32","371235809","الخليج التجارى","49.01","Flat","1553341661","4","0","null","شقه سكنيه","الخليج التجاري","346","CRYSTAL TOWER"
"null","null","null","null","null","null","null","395","null","2","null","null","LBRC0149            ","null","null","0","null","null","null","null","null","562","null","null","null","0","null","null","228","null","Jabal Ali Industrial First","null","2014-12-21 00:00:00","5990562","2026-02-26 16:09:32","1000173132902","جبل على الصناعية الأولى","null","null","null","null","null","null","null","null","599","0"
"null","421","null","null","null","null","null","249","null","1","3","null","Shop No. 2","null","null","38","null","تجارى","null","null","null","567","null","محل","Unit","0","Commercial","null","24","Shop","Al Muteena","وحدة","2017-11-26 00:00:00","1230567","2026-02-26 16:09:32","1002077036646","المطينه","342","null","1000160684645","4","null","null","null","null","123","null"
"null","2","null","null","null","null","null","271","null","2","3","null","24","null","null","0","null","تجارى","null","33","2","1234","null","غرفتين و صالة","Unit","0","Commercial","null","251","2 bed rooms+hall","Al Karama","وحدة","2019-07-25 00:00:00","3181234","2026-02-26 16:09:32","1002036439479","الكرامه","33","null","null","4","null","null","null","null","318","0"
"null","13","null","null","null","1001707854444","null","376","null","2","3","null","3","null","null","0","null","صناعى","null","299.43","G","469","null","مستودع","Unit","0","Industrial","null","4","Warehouse","Ras Al Khor Industrial First","وحدة","2011-02-08 00:00:00","6120469","2026-02-26 16:09:32","1000743125696","راس الخور الصناعيه الاولى","299.4","null","1000152306640","3","null","null","null","null","612","0"
"REMRAAM","2","0","null","60","1977579379","رمرام","451","null","2","3","0","107","null","975","0","100","تجارى","null","0.0014","1","863","0","غرفتان","Unit","1","Commercial","Remraam","558","2 B/R","Al Hebiah Fifth","وحدة","2008-12-26 00:00:00","6830863","2026-02-26 16:09:32","797391665","الحبيه الخامسة","95.41","Flat","838486877","4","7","null","شقه سكنيه","رمرام","683","S4-24C6"
